id,target
4941,6476810.5
51775,1264876.4
115253,2401683.8
299321,1393717.0
173570,617462.4
30862,1495894.5
244471,2154158.8
127794,571678.6
71558,2335693.5
218011,912911.8
148208,4053084.8
155735,645518.3
100698,4079288.5
241403,1577503.2
195272,2527641.8
238663,1337788.1
262957,6350809.0
207082,1713438.9
298896,473666.22
220946,665791.1
74581,1206506.4
253578,6300126.5
47620,2390998.2
92772,1924593.2
116904,2316826.5
208352,4960126.0
76044,1551410.9
202667,667391.75
62134,6165493.5
277353,4641458.5
64194,4132875.2
295822,4819259.0
27391,2030978.6
203500,1344463.2
264505,1269088.6
297455,1349873.6
137985,1693678.1
47622,4913712.0
21911,1179781.5
94181,3976353.0
68117,1339242.1
39648,653481.44
73722,3308921.8
133456,1125346.4
30763,9566760.0
58096,473968.6
126979,2026869.2
149636,2155428.8
27810,2340962.2
272001,5319327.0
114617,4979768.0
190693,6202172.0
219814,1890472.0
67164,3670803.2
83961,5006842.0
254122,3048582.5
141378,4805529.0
151754,951556.9
125013,970508.06
273552,1065985.9
201853,915980.6
99511,2790964.2
25140,7763523.0
7603,1096744.6
84095,3908592.8
84071,3522979.2
151177,2163292.5
294081,1224119.4
88694,1369643.4
99932,1189345.5
14442,693714.3
162220,1332156.6
163631,5613320.0
49023,1093959.0
80644,6663460.5
274016,1863341.0
64876,1169015.6
156696,8198286.5
295991,1916050.9
192037,2874020.5
118765,1314265.0
94748,3334707.5
251764,4289801.0
60381,511464.88
283938,532160.75
195995,521987.47
112778,1338658.8
76727,1821660.4
21435,1600572.6
17468,3355575.0
225673,3824330.8
79759,2956312.2
257599,1327997.8
270720,3446149.2
153801,4082696.0
92266,4120830.5
207329,6162044.0
243955,3901195.2
288928,6539877.5
186600,3911001.8
48005,1006141.4
212520,1194977.0
294075,1288681.8
131575,2058027.1
202057,5593043.5
239160,1403732.1
92611,1017032.9
268351,2084308.8
259109,1422426.4
265328,1376838.2
229144,1206741.0
261302,2146572.8
84117,2643051.2
31189,4563872.5
107254,1884465.1
192798,1698490.0
28083,2236759.0
118789,3591688.0
2152,6769006.0
287026,1062043.6
249169,2146219.8
137539,3623287.5
46291,461253.9
30233,3745797.8
175145,1770968.6
50676,581930.94
71570,3041982.2
219843,2402725.0
36279,2377449.5
66052,672155.4
252609,3062891.0
24783,7323844.5
299327,4585614.0
95349,5767248.0
46332,732145.7
91240,1046864.9
5445,1290111.2
272876,1276198.8
43811,1840147.2
217082,5799219.5
100370,4699030.0
258874,658927.75
121949,833808.3
212950,461000.8
200057,3144363.0
229177,1813334.8
287838,536576.0
213118,2345508.0
176475,955646.94
118176,9839404.0
209024,1648847.5
221906,2297176.8
42493,2283540.8
223728,1510250.1
141993,4915239.5
55675,2585872.5
224087,2254024.8
83655,2092109.9
61917,2514295.8
153665,3138710.8
155758,8368032.0
190393,7193376.5
231050,853253.2
201122,3162979.8
59267,459745.72
262487,10676452.0
188582,2948777.0
131814,875885.56
73949,5768255.5
154308,9586580.0
167194,893772.1
277393,2171843.0
196835,1672106.6
91690,2513152.0
162086,2173354.8
231058,2727106.0
54120,6456568.5
247858,4411649.0
98092,909368.2
271915,3036260.5
44677,1632077.1
56078,1075326.9
129375,6663828.5
133361,4630436.5
85866,1901744.6
191559,580297.7
218728,1996586.5
208771,2871589.5
109195,751531.75
39549,1018605.3
169828,3641877.2
57416,2385127.8
33193,5772278.5
173865,4029756.5
50919,3841160.8
108504,2287788.8
72963,2232792.2
270712,1354280.2
63504,1289126.0
26896,1814371.2
261152,1143775.0
8838,583571.3
16064,8927168.0
107661,3567942.8
130161,2225951.2
179573,4066282.0
116121,309019.5
32234,291181.47
191736,1229775.2
57456,4720360.0
160502,1115587.0
215795,1382703.4
126714,3411789.8
173047,430015.06
97726,2879571.8
193811,1353082.8
17156,1167400.2
71055,1070331.0
193990,1034855.0
52059,2384155.8
274757,3673157.5
1558,5585082.5
253081,627563.06
181909,2219478.5
145269,2560047.2
186660,5028184.0
6479,2650254.8
249414,642767.25
43182,509106.62
248529,3950912.8
125724,2973553.5
214268,1713453.8
270767,1801424.2
141103,2276619.8
292203,5840370.0
62008,2835382.8
89122,954530.06
47736,6200430.0
222505,4492182.0
29628,773932.06
202216,2392415.5
194828,536228.1
18649,1343966.0
199020,2416582.0
111554,541704.8
244687,4953736.5
230919,5367672.5
42397,5731580.0
221946,1803948.1
168390,875891.5
175576,1077289.5
153541,1247563.4
74055,2224228.5
233828,5841664.5
131312,588399.56
224154,4844227.5
266743,618604.56
15594,1428433.4
227419,4236191.5
115531,4257158.0
12282,390625.72
21847,1584772.5
86772,698905.2
193139,2380900.0
100472,4161917.5
177774,3761044.2
224462,3314927.8
255020,2154296.0
140852,3159306.0
6484,1893887.9
97191,2652371.5
218796,7132292.5
146934,506398.12
183990,2171661.5
150347,3068105.0
291295,8926962.0
175531,1922326.2
80284,2724844.5
64297,1732178.2
221587,2441073.8
145984,4465633.0
266813,441987.4
53725,1254704.2
171137,634347.9
212764,774689.2
30683,1217450.0
204086,2708504.8
78594,7956088.0
162787,1694734.8
212279,988343.8
33141,623220.44
13870,3008258.0
205831,3374394.0
285806,6291037.0
13820,899736.8
198918,592067.06
165989,5856226.5
81377,1823097.6
149867,675361.2
192119,780451.94
180210,1141021.4
147051,2936772.8
127638,3054117.0
291867,2206141.0
178582,7173609.0
127544,4081173.0
235717,4040040.0
171723,633931.5
161574,454810.3
75409,2560460.5
90035,1330335.8
42840,1063647.6
8581,7668619.5
13664,4645130.5
247464,1786100.2
96424,1583811.2
194898,3576322.5
283532,2344013.5
69531,4813782.5
237884,1468269.9
261893,1911055.5
150376,485888.2
182443,3001701.2
224406,5895744.0
171332,2314407.5
140442,1636037.4
154939,1657443.6
131259,6214409.5
162293,953275.44
292709,3428873.5
264845,3014390.5
166131,7502519.5
132328,3144518.5
208063,2729345.2
48322,7760911.5
16624,565552.06
4734,1879087.0
189590,5213977.0
101739,1386295.5
111000,3185016.5
198444,528893.4
16638,2956152.8
55638,9978142.0
258788,1552213.4
238820,3351715.8
115603,1110816.9
246939,3129235.5
191530,781392.0
11213,2984524.5
27388,3430809.2
229061,2500926.2
251977,1040257.44
23366,1253699.2
10057,8563368.0
112593,3818391.5
268565,789183.2
157455,5414641.0
59187,845202.2
70372,3792664.2
126007,711930.8
197380,986317.06
271738,5351871.5
194635,3674953.2
165242,2070131.8
47838,704343.1
29771,694093.06
257199,598709.3
61814,2493580.2
208348,3314999.2
191265,7639210.5
2157,9126658.0
188784,363489.28
95787,2101912.5
238436,2351009.2
239163,2084049.4
295072,568856.6
104338,3488101.0
291607,412662.38
21708,3248162.0
143149,5507113.5
137148,9886920.0
78780,591029.9
92536,1681901.0
271294,1764632.9
79847,7484151.0
274306,452124.97
153714,787087.2
117114,251676.48
295580,4788850.0
153341,2417939.0
242231,679581.75
17420,7083582.0
52376,2889847.2
71440,406844.97
254000,2770545.8
199108,3864064.5
146464,5978499.0
154057,3290434.5
276394,3334229.8
106502,3886296.8
84374,785506.0
253180,2060256.6
236365,1035119.94
182279,2072488.1
221109,3823179.8
289706,1477447.6
291438,2156018.5
71066,4067237.2
122789,4815946.0
194910,1088771.8
145391,1778453.9
199164,2691238.8
266382,958897.8
271414,1006712.44
167801,3469421.5
61371,2715380.0
228790,562857.2
290878,4663252.0
144980,774326.7
119483,1302327.9
18604,1467217.2
138393,1559835.9
83163,2981212.8
77727,1781884.0
224928,6958650.5
28596,1089659.2
157996,7711682.5
108954,4287756.5
200857,8997802.0
72173,449284.1
106183,2120996.0
12328,1656482.1
264481,6080272.0
96134,2467694.8
129425,2831626.0
80441,1539206.1
